individual,substrate,dS,dL,predator,species,locality,morph
SAN7,GreenLeaf,4.217583412,4.0129771,lizard,granulifera,SAN,red
SAN8,GreenLeaf,6.573497315,4.6282607,lizard,granulifera,SAN,red
SAN1,LeafLitter,7.507266408,0.7959077,lizard,granulifera,SAN,red
SAN2,LeafLitter,4.286810497,2.8765192,lizard,granulifera,SAN,red
SAN3,LeafLitter,3.672990915,3.3798998,lizard,granulifera,SAN,red
SAN4,LeafLitter,2.686906398,0.5612064,lizard,granulifera,SAN,red
SAN5,LeafLitter,1.938409861,3.6648206,lizard,granulifera,SAN,red
SAN6,LeafLitter,6.18026937,5.9992693,lizard,granulifera,SAN,red
SAN7,LeafLitter,2.727814873,2.6165944,lizard,granulifera,SAN,red
SAN8,LeafLitter,4.389523866,3.231878,lizard,granulifera,SAN,red
SAN1,trunk,7.892629542,0.3095942,lizard,granulifera,SAN,red
SAN2,trunk,4.63052747,1.7710173,lizard,granulifera,SAN,red
SAN3,trunk,3.99968073,2.2743978,lizard,granulifera,SAN,red
SAN4,trunk,2.515310711,1.6667083,lizard,granulifera,SAN,red
SAN5,trunk,2.0194551,2.5593187,lizard,granulifera,SAN,red
SAN6,trunk,6.560759184,4.8937674,lizard,granulifera,SAN,red
SAN7,trunk,2.882052633,1.5110924,lizard,granulifera,SAN,red
SAN8,trunk,4.727579022,2.1263761,lizard,granulifera,SAN,red
CAY2,GreenLeaf,1.465084385,1.983698,bird,pumilio,CAY,green
CAY3,GreenLeaf,2.079426649,8.4076962,bird,pumilio,CAY,green
CAY4,GreenLeaf,5.978936167,18.0866456,bird,pumilio,CAY,green
CAY6,GreenLeaf,4.744923742,18.5421948,bird,pumilio,CAY,green
CAY7,GreenLeaf,6.970899732,17.1012793,bird,pumilio,CAY,green
CAY8,GreenLeaf,1.516215603,17.6106287,bird,pumilio,CAY,green
CAY2,LeafLitter,3.584381887,1.8920325,bird,pumilio,CAY,green
CAY3,LeafLitter,3.950283892,4.5319657,bird,pumilio,CAY,green
CAY4,LeafLitter,5.501548681,14.2109151,bird,pumilio,CAY,green
CAY6,LeafLitter,4.975836185,14.6664643,bird,pumilio,CAY,green
CAY7,LeafLitter,6.137453016,13.2255488,bird,pumilio,CAY,green
CAY8,LeafLitter,3.626538933,13.7348982,bird,pumilio,CAY,green
CAY2,trunk,2.939451078,3.9393372,bird,pumilio,CAY,green
CAY3,trunk,3.332864113,2.4846611,bird,pumilio,CAY,green
